year,importer1,importer2,flow1,flow2
2021,"Kumar R.","Nanda V.",8.19,4.36
2021,"Bhat S.","Chetupalli S.R.",8.19,4.36
2021,"Bhat S.","Ganapathy S.",8.19,4.36
2021,"Bhat S.","Ramoji S.",8.19,4.36
2021,"Bhat S.","Nanda V.",8.19,4.36
2021,"Chetupalli S.R.","Ganapathy S.",8.19,4.36
2021,"Chetupalli S.R.","Ramoji S.",8.19,4.36
2021,"Chetupalli S.R.","Nanda V.",8.19,4.36
2021,"Ganapathy S.","Ramoji S.",8.19,4.36
2021,"Ganapathy S.","Nanda V.",8.19,4.36
2021,"Ramoji S.","Nanda V.",8.19,4.36
2022,"Sharma N.K.","Muguli A.",8.19,4.36
2022,"Sharma N.K.","Krishnan P.",8.19,4.36
2022,"Sharma N.K.","Kumar R.",8.19,4.36
2022,"Sharma N.K.","Chetupalli S.R.",8.19,4.36
2022,"Sharma N.K.","Ganapathy S.",8.19,4.36
2022,"Muguli A.","Krishnan P.",8.19,4.36
2022,"Muguli A.","Kumar R.",8.19,4.36
2022,"Muguli A.","Chetupalli S.R.",8.19,4.36
2022,"Muguli A.","Ganapathy S.",8.19,4.36
2022,"Krishnan P.","Kumar R.",8.19,4.36
2022,"Krishnan P.","Chetupalli S.R.",8.19,4.36
2022,"Krishnan P.","Ganapathy S.",8.19,4.36
2022,"Kumar R.","Chetupalli S.R.",8.19,4.36
2022,"Kumar R.","Ganapathy S.",8.19,4.36
2022,"Chetupalli S.R.","Ganapathy S.",8.19,4.36
2022,"Sharma N.K.","Chetupalli S.R.",8.19,4.36
2022,"Sharma N.K.","Bhattacharya D.",8.19,4.36
2022,"Sharma N.K.","Dutta D.",8.19,4.36
2022,"Sharma N.K.","Mote P.",8.19,4.36
2022,"Sharma N.K.","Ganapathy S.",8.19,4.36
2022,"Chetupalli S.R.","Bhattacharya D.",8.19,4.36
2022,"Chetupalli S.R.","Dutta D.",8.19,4.36
2022,"Chetupalli S.R.","Mote P.",8.19,4.36
2022,"Chetupalli S.R.","Ganapathy S.",8.19,4.36
2022,"Bhattacharya D.","Dutta D.",8.19,4.36
2022,"Bhattacharya D.","Mote P.",8.19,4.36
2022,"Bhattacharya D.","Ganapathy S.",8.19,4.36
2022,"Dutta D.","Mote P.",8.19,4.36
2022,"Dutta D.","Ganapathy S.",8.19,4.36
2022,"Mote P.","Ganapathy S.",8.19,4.36
2023,"Chetupalli S.R.","Krishnan P.",8.19,4.36
2023,"Chetupalli S.R.","Sharma N.",8.19,4.36
2023,"Chetupalli S.R.","Muguli A.",8.19,4.36
2023,"Chetupalli S.R.","Kumar R.",8.19,4.36
2023,"Chetupalli S.R.","Nanda V.",8.19,4.36
2023,"Chetupalli S.R.","Pinto L.M.",8.19,4.36
2023,"Chetupalli S.R.","Ghosh P.K.",8.19,4.36
2023,"Chetupalli S.R.","Ganapathy S.",8.19,4.36
2023,"Krishnan P.","Sharma N.",8.19,4.36
2023,"Krishnan P.","Muguli A.",8.19,4.36
2023,"Krishnan P.","Kumar R.",8.19,4.36
2023,"Krishnan P.","Nanda V.",8.19,4.36
2023,"Krishnan P.","Pinto L.M.",8.19,4.36
2023,"Krishnan P.","Ghosh P.K.",8.19,4.36
2023,"Krishnan P.","Ganapathy S.",8.19,4.36
2023,"Sharma N.","Muguli A.",8.19,4.36
2023,"Sharma N.","Kumar R.",8.19,4.36
2023,"Sharma N.","Nanda V.",8.19,4.36
2023,"Sharma N.","Pinto L.M.",8.19,4.36
2023,"Sharma N.","Ghosh P.K.",8.19,4.36
2023,"Sharma N.","Ganapathy S.",8.19,4.36
2023,"Muguli A.","Kumar R.",8.19,4.36
2023,"Muguli A.","Nanda V.",8.19,4.36
2023,"Muguli A.","Pinto L.M.",8.19,4.36
2023,"Muguli A.","Ghosh P.K.",8.19,4.36
2023,"Muguli A.","Ganapathy S.",8.19,4.36
2023,"Kumar R.","Nanda V.",8.19,4.36
2023,"Kumar R.","Pinto L.M.",8.19,4.36
2023,"Kumar R.","Ghosh P.K.",8.19,4.36
2023,"Kumar R.","Ganapathy S.",8.19,4.36
2023,"Nanda V.","Pinto L.M.",8.19,4.36
2023,"Nanda V.","Ghosh P.K.",8.19,4.36
2023,"Nanda V.","Ganapathy S.",8.19,4.36
2023,"Pinto L.M.","Ghosh P.K.",8.19,4.36
2023,"Pinto L.M.","Ganapathy S.",8.19,4.36
2023,"Ghosh P.K.","Ganapathy S.",8.19,4.36
